Date,Malaria_Cases,Temperature,Humidity,Rainfall,Population_Density
1/31/2018,1600000,28.5510245,79.3818,0,4800000
2/28/2018,1604166,25.54027146,80.3385,0,4826388.889
3/31/2018,1608333,27.96822089,80.52045083,0,4852777.778
4/30/2018,1612500,24.01600004,74.09969043,347.4428571,4879166.667
5/31/2018,1616666,22.65517387,82.63130383,347.4428571,4905555.556
6/30/2018,1620833,29.40679364,85.88619622,347.4428571,4931944.444
7/31/2018,1625000,26.43566708,87.2193987,347.4428571,4958333.333
8/31/2018,1629166,24.48633152,89.97108387,347.4428571,4984722.222
9/30/2018,1633333,22.85644853,80.68224032,347.4428571,5011111.111
10/31/2018,1637500,25.27692774,73.3883,347.4428571,5037500
11/30/2018,1641666,28.31008302,72.0394,0,5063888.889
12/31/2018,1645833,29.7620097,71.33904767,0,5090277.778
1/31/2019,1650000,22.26110043,87.55465248,0,5116666.667
2/28/2019,1654166,23.27207344,85.99954598,0,5143055.556
3/31/2019,1658333,23.8640539,81.83743853,0,5169444.444
4/30/2019,1662500,24.92744162,77.8650954,347.4428571,5195833.333
5/31/2019,1666666,23.1041991,75.6189,347.4428571,5222222.222
6/30/2019,1670833,27.29449493,70.23081106,347.4428571,5248611.111
7/31/2019,1675000,22.09671815,76.2308,347.4428571,5275000
8/31/2019,1679166,25.74062979,79.5162,347.4428571,5301388.889
9/30/2019,1683333,24.63921715,81.29251572,347.4428571,5327777.778
10/31/2019,1687500,24.58867471,75.56194308,347.4428571,5354166.667
11/30/2019,1691666,21.30242478,84.14576353,0,5380555.556
12/31/2019,1695833,20.09742548,77.96661364,0,5406944.444
1/31/2020,1700000,28.2185237,83.53606035,0,5433333.333
2/29/2020,1704166,27.13180095,86.98958095,0,5459722.222
3/31/2020,1708333,23.99360408,72.72789058,0,5486111.111
4/30/2020,1712500,26.2340,79.58954671,347.4428571,5512500
5/31/2020,1716666,27.38526062,76.48080304,347.4428571,5538888.889
6/30/2020,1720833,25.40622782,85.8688976,347.4428571,5565277.778
7/31/2020,1725000,20.66708235,84.56646308,347.4428571,5591666.667
8/31/2020,1729166,25.53617058,85.99397385,347.4428571,5618055.556
9/30/2020,1733333,21.9468,77.61474095,347.4428571,5644444.444
10/31/2020,1737500,26.57379191,77.48427643,347.4428571,5670833.333
11/30/2020,1741666,27.24497699,71.80221252,0,5697222.222
12/31/2020,1745833,20.62298696,79.40039268,0,5723611.111
1/31/2021,1750000,22.74870314,77.35184781,0,5750000
2/28/2021,1754166,23.00639807,78.76306295,0,5776388.889
3/31/2021,1758333,26.87404168,87.51836862,0,5802777.778
4/30/2021,1762500,24.58072353,80.50395142,347.4428571,5829166.667
5/31/2021,1766666,28.86882332,76.97787926,347.4428571,5855555.556
6/30/2021,1770833,26.8136013,86.44554949,347.4428571,5881944.444
7/31/2021,1775000,24.29168086,79.14910856,347.4428571,5908333.333
8/31/2021,1779166,24.8657572,85.63489603,347.4428571,5934722.222
9/30/2021,1783333,22.86700692,70.53135828,347.4428571,5961111.111
10/31/2021,1787500,29.82935961,71.63347743,347.4428571,5987500
11/30/2021,1791666,28.61424229,71.29088432,0,6013888.889
12/31/2021,1795833,29.7131772,71.88921157,0,6040277.778
1/31/2022,1800000,29.00016283,72.22385176,0,6066666.667
2/28/2022,1804166,29.69902891,77.25615834,0,6093055.556
3/31/2022,1808333,26.78415437,77.39794928,0,6119444.444
4/30/2022,1812500,20.40180326,73.28397674,347.4428571,6145833.333
5/31/2022,1816666,21.83350444,81.73256301,347.4428571,6172222.222
6/30/2022,1820833,22.78958493,89.99930777,347.4428571,6198611.111
7/31/2022,1825000,26.06593658,85.01704528,347.4428571,6225000
8/31/2022,1829166,23.74002816,89.2295,347.4428571,6251388.889
9/30/2022,1833333,28.53262112,70.68083102,347.4428571,6277777.778
10/31/2022,1837500,27.1516873,83.18496177,347.4428571,6304166.667
11/30/2022,1841666,21.19377178,75.34429308,0,6330555.556
12/31/2022,1845833,24.08292291,77.64114944,0,6356944.444
1/31/2023,1850000,23.48050337,73.031225,0,6383333.333
2/28/2023,1854166,23.22442033,73.68787438,0,6409722.222
3/31/2023,1858333,25.05307905,82.05871516,0,6436111.111
4/30/2023,1862500,22.31915136,87.697235,347.4428571,6462500
5/31/2023,1866666,25.63303454,77.759355,347.4428571,6488888.889
6/30/2023,1870833,23.70065497,78.2151,347.4428571,6515277.778
7/31/2023,1875000,20.83624658,87.19946148,347.4428571,6541666.667
8/31/2023,1879166,23.47155727,82.22117476,347.4428571,6568055.556
9/30/2023,1883333,23.65947864,73.07305068,347.4428571,6594444.444
10/31/2023,1887500,23.58395233,72.9671,347.4428571,6620833.333
11/30/2023,1891666,20.9431003,85.06420114,0,6647222.222
12/31/2023,1895833,22.40064568,70.07017302,0,6673611.111
